id,subtest,issue_type,severity,stem_snippet,suggested_action
picard-1250-qr-17-q06,quantitative_reasoning,missing_diagram,critical,"The field’s owner is trying to keep hunters out of the field by installing an electric fence. However, for legal reasons, he can only instal…","regenerate diagram or exclude"
picard-1000-vr-0132,verbal_reasoning,missing_passage,high,"Which of the following statements can be deduced from the passage?","recover passage from source or exclude"
picard-1250-qr-06-q10,quantitative_reasoning,missing_table,critical,"An Englishman mistakenly thinks that the distances shown in the table are expressed in miles instead of kilometres. He thinks that the journ…","add pipe-table to passage, regenerate, or exclude"
bryon-700-vr-0099,verbal_reasoning,missing_passage,high,"The passage is illustrated with specific details from five of the six major religions of the world.","recover passage from source or exclude"
picard-1000-vr-0170,verbal_reasoning,missing_passage,high,"Which one of the following statements can be deduced from the text?","recover passage from source or exclude"
picard-1000-vr-0094,verbal_reasoning,missing_passage,high,"Which of the following statements can reasonably be concluded from the passage?","recover passage from source or exclude"
picard-1000-qr-0067,quantitative_reasoning,missing_diagram,critical,"The fish enthusiast decides to place gravel on the floor of his tank. The gravel occupies 15% of the total volume of the tank. The enthusias…","regenerate diagram or exclude"
picard-1250-qr-08-q01,quantitative_reasoning,missing_diagram,critical,"What is the volume of the tank? a.8L","regenerate diagram or exclude"
picard-1250-qr-18-q07,quantitative_reasoning,missing_diagram,critical,"The diamond industry for Country X expects that, for the first quar- ter of 2009, the net export figure (i.","regenerate diagram or exclude"
bryon-700-vr-0075,verbal_reasoning,missing_passage,high,"The passage is ambivalent In respect to whether or not English will become extinct.","recover passage from source or exclude"
kaplan3-qr-q0013,quantitative_reasoning,missing_chart,critical,"What percentage of bags sold on Wednesday were white?","regenerate chart, render via Recharts, or exclude"
picard-1000-qr-0142,quantitative_reasoning,missing_diagram,critical,"Skippy and his mother are both jumping clockwise along the perimeter of the field (33m long). In one second, Skippy jumps a ground distance …","regenerate diagram or exclude"
bryon-750-dm-0014,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? My old car passed i…","add pipe-table to passage, regenerate, or exclude"
picard-1000-vr-0114,verbal_reasoning,missing_passage,high,"With which of the following statements are the readers of the passage most likely to disagree?","recover passage from source or exclude"
medichut-2023-dm-mock-q20,decision_making,missing_diagram,critical,"The diagram depicted above shows the number of people working in different sections of a hospital: • The star represents those working in Ca…","regenerate diagram or exclude"
tomkins-2014-vr-0002,verbal_reasoning,missing_passage,high,"The passage was probably not written by Technomic Inc.","recover passage from source or exclude"
seale-radford-vr-0120,verbal_reasoning,missing_passage,high,"False: The article states that 'The advantage of additive fabrication is its ability to produce almost any shape’, implying that there are s…","recover passage from source or exclude"
green-800-vr-0024,verbal_reasoning,missing_passage,high,"Which of the following statements is correct based on the passage","recover passage from source or exclude"
green-800-qr-0098,quantitative_reasoning,missing_table,critical,"What percentage of total net profi t can be accounted for by hatchback sales? (Calculate to","add pipe-table to passage, regenerate, or exclude"
picard-1000-vr-0151,verbal_reasoning,missing_passage,high,"Which of the following can be deduced from the passage?","recover passage from source or exclude"
picard-1000-vr-0175,verbal_reasoning,missing_passage,high,"Which of the following statements is supported by the text?","recover passage from source or exclude"
green-800-vr-0067,verbal_reasoning,missing_passage,high,"One conclusion that can be drawn from the passage is:","recover passage from source or exclude"
green-800-vr-0038,verbal_reasoning,missing_passage,high,"According to the passage which of the below options best supports the statement ‘The key players in establishing the fundamental theory on S…","recover passage from source or exclude"
picard-1000-vr-0104,verbal_reasoning,missing_passage,high,"According to the passage, the biggest risk is that:","recover passage from source or exclude"
picard-1000-vr-0107,verbal_reasoning,missing_passage,high,"Which of the following statements can be deduced from the text?","recover passage from source or exclude"
green-800-vr-0023,verbal_reasoning,missing_passage,high,"According to the passage adopting a uniform approach to noting music had formalised:","recover passage from source or exclude"
green-800-vr-0060,verbal_reasoning,missing_passage,high,"Which of the following statements can be inferred from the passage?","recover passage from source or exclude"
bryon-750-vr-0076,verbal_reasoning,missing_passage,high,"The tone of the passage suggests that the ability to engage in new ways of thinking can be attributed to India and China.","recover passage from source or exclude"
picard-1250-qr-20-q04,quantitative_reasoning,missing_diagram,critical,"The fish enthusiast decides to place gravel on the floor of his tank. The gravel occupies 15% of the total volume of the tank. The enthusias…","regenerate diagram or exclude"
green-800-qr-0030,quantitative_reasoning,missing_table,critical,"What is the diff erence in Egyptian Pounds when exchanging £120 on a weekday compared to a Saturday or a Sunday?","add pipe-table to passage, regenerate, or exclude"
hutton-rosalie-qr-0051,quantitative_reasoning,missing_diagram,critical,"Which one of the following statements is supported by the information in the figure above?","regenerate diagram or exclude"
green-800-vr-0054,verbal_reasoning,missing_passage,high,"According to the passage the patent system in America was developed as a result of:","recover passage from source or exclude"
green-800-qr-0074,quantitative_reasoning,missing_table,critical,"What was the modal average temperature across the six locations in July?","add pipe-table to passage, regenerate, or exclude"
picard-1000-vr-0120,verbal_reasoning,missing_passage,high,"Which of these statements can be concluded from the text?","recover passage from source or exclude"
green-800-vr-0062,verbal_reasoning,missing_passage,high,"According to the passage which of the following statements is true:","recover passage from source or exclude"
medichut-2023-dm-mock-q06,decision_making,missing_diagram,critical,"The following diagram depicts the number of students studying different subjects at university. • The pentagon represents students studying …","regenerate diagram or exclude"
green-800-vr-0072,verbal_reasoning,missing_passage,high,"It can be inferred from the passage that management responsibilities reduce a doctor’s clinical responsibilities.","recover passage from source or exclude"
green-800-qr-0161,quantitative_reasoning,missing_chart,critical,"What is the acceleration shown by the graph between hours 3 and 4?","regenerate chart, render via Recharts, or exclude"
green-800-qr-0102,quantitative_reasoning,missing_chart,critical,"How much revenue did Baker’s Food Factory turn over for the middle two quarters?","regenerate chart, render via Recharts, or exclude"
picard-1000-vr-0186,verbal_reasoning,missing_passage,high,"Which of the following statements regarding jatropha can be concluded from the text?","recover passage from source or exclude"
picard-1000-vr-0194,verbal_reasoning,missing_passage,high,"Which of the following statements can be concluded from the text?","recover passage from source or exclude"
green-800-vr-0061,verbal_reasoning,missing_passage,high,"It can be inferred from the passage that the aim of Article 27 of the Humans Rights Act is to:","recover passage from source or exclude"
kaplan3-qr-q0019,quantitative_reasoning,missing_table,critical,"What would be the best way to encode the following message? Message: Two birds left in spring.","add pipe-table to passage, regenerate, or exclude"
bryon-700-dm-0016,decision_making,missing_table,critical,"Which ONE of the following words when added to the table of code words • would be the most helpful in coding the sentence? Most people can l…","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0115,quantitative_reasoning,missing_diagram,critical,"What is the total area of the three identical circles shaded in grey, to","regenerate diagram or exclude"
kaplan3-qr-q0014,quantitative_reasoning,missing_chart,critical,"How many more lizards and turtles were there in October than in April?","regenerate chart, render via Recharts, or exclude"
green-800-qr-0090,quantitative_reasoning,missing_table,critical,"How many pupils are there in KS3 in total?","add pipe-table to passage, regenerate, or exclude"
picard-1000-qr-0052,quantitative_reasoning,missing_diagram,critical,"The field’s owner is nearing retirement and wants to share the field between his four sons. He wishes to allocate: 1/6 of the field to his f…","regenerate diagram or exclude"
tomkins-2014-vr-0005,verbal_reasoning,missing_passage,high,"The passage states that restaurants generally have strict menus.","recover passage from source or exclude"
green-800-vr-0075,verbal_reasoning,missing_passage,high,"Which of the following statements can be inferred from the passage:","recover passage from source or exclude"
hutton-glenn-qr-0040,quantitative_reasoning,missing_table,critical,"Two flights leave the UK on Monday at 10.00 hours, one bound for Dubai and one for Hawaii. The Dubai flight is adversely affected by incleme…","add pipe-table to passage, regenerate, or exclude"
picard-1000-qr-0077,quantitative_reasoning,missing_diagram,critical,"What is the surface area of the apartment?","regenerate diagram or exclude"
green-800-qr-0010,quantitative_reasoning,missing_table,critical,"What is the average price of a tower?","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0014,quantitative_reasoning,missing_chart,critical,"What is the percentage of males who are","regenerate chart, render via Recharts, or exclude"
green-800-qr-0046,quantitative_reasoning,missing_table,critical,"What is the combined number of hours Chillwells, Multimedia and Wollards are open on a Tuesday and Saturday?","add pipe-table to passage, regenerate, or exclude"
hutton-rosalie-qr-0013,quantitative_reasoning,missing_diagram,critical,"Which one of the following statements is supported by the information in the figure above?","regenerate diagram or exclude"
green-800-qr-0078,quantitative_reasoning,missing_chart,critical,"What was the diff erence in peak speeds between Runner A and Runner B?","regenerate chart, render via Recharts, or exclude"
bryon-700-vr-0077,verbal_reasoning,missing_passage,high,"It would be wrong to deduce from the passage that women volun¬ teers in the same circumstances would not act callously.","recover passage from source or exclude"
green-800-qr-0086,quantitative_reasoning,missing_table,critical,"How much gross profi t would a shop make if they sold","add pipe-table to passage, regenerate, or exclude"
bryon-700-dm-0017,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? My old car passed i…","add pipe-table to passage, regenerate, or exclude"
bryon-700-vr-0047,verbal_reasoning,missing_passage,high,"The main issue in the passage is rising food prices and how they create winners and losers.","recover passage from source or exclude"
picard-1250-vr-16-q04,verbal_reasoning,missing_passage,high,"Which conclusion can be drawn from the passage?","recover passage from source or exclude"
bryon-700-dm-0040,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Time spent studying…","add pipe-table to passage, regenerate, or exclude"
gen-qr-0044,quantitative_reasoning,missing_table,critical,"How many additional staff need to be vaccinated to reach the 80% target?","add pipe-table to passage, regenerate, or exclude"
bryon-700-vr-0074,verbal_reasoning,missing_passage,high,"The passage does not answer the question asking what decides if a language is to endure or become extinct.","recover passage from source or exclude"
bryon-700-vr-0080,verbal_reasoning,missing_passage,high,"The tone of the passage suggests that the ability to engage in new ways of thinking can be attributed to India and China.","recover passage from source or exclude"
bryon-700-vr-0090,verbal_reasoning,missing_passage,high,"The penultimate sentence of the passage illustrates the sort of things that people post on the Internet.","recover passage from source or exclude"
green-800-vr-0053,verbal_reasoning,missing_passage,high,"Which of the following statements is false based on the passage of information?","recover passage from source or exclude"
bryon-700-dm-0063,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? We w§re unconcerned…","add pipe-table to passage, regenerate, or exclude"
picard-1000-vr-0147,verbal_reasoning,missing_passage,high,"Which of the following statements about classics can be deduced from the passage?","recover passage from source or exclude"
picard-1000-vr-0150,verbal_reasoning,missing_passage,high,"Which of the following can be deduced from the passage?","recover passage from source or exclude"
green-800-qr-0018,quantitative_reasoning,missing_chart,critical,"To the nearest whole number, what percentage of the businesses surveyed in 2006 had 39 or fewer employees?","regenerate chart, render via Recharts, or exclude"
green-800-qr-0006,quantitative_reasoning,missing_chart,critical,"What are the accumulated total open hours of all the shops in one week?","regenerate chart, render via Recharts, or exclude"
bryon-700-vr-0065,verbal_reasoning,missing_passage,high,"The country to which the passage refers has a total population of","recover passage from source or exclude"
green-800-qr-0038,quantitative_reasoning,missing_chart,critical,"What percentage of students present on the day of the survey played rugby at Pinewood School in 1999?","regenerate chart, render via Recharts, or exclude"
bryon-700-dm-0039,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Successful business…","add pipe-table to passage, regenerate, or exclude"
bryon-700-dm-0018,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful In coding the sentence? We sold our home in…","add pipe-table to passage, regenerate, or exclude"
bryon-700-vr-0011,verbal_reasoning,missing_passage,high,"In the passage we can conclude that the words ‘huge, giant’ and ‘moon, satellite’ are treated as synonyms.","recover passage from source or exclude"
bryon-750-vr-0086,verbal_reasoning,missing_passage,high,"The penultimate sentence of the passage illustrates the sort of things that people post on the internet.","recover passage from source or exclude"
bryon-700-dm-0019,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Neither of us found…","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0138,quantitative_reasoning,missing_table,critical,"Which language is most popular?","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0142,quantitative_reasoning,missing_chart,critical,"What is the total income of these Globo.inc sectors?","regenerate chart, render via Recharts, or exclude"
bryon-700-dm-0062,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? A reservoir provide…","add pipe-table to passage, regenerate, or exclude"
bryon-750-vr-0023,verbal_reasoning,missing_passage,high,"In the opening sentence of the passage when it is said that a thing of beauty can completely lack physical form it means that it lacks physi…","recover passage from source or exclude"
seale-radford-qr-0033,quantitative_reasoning,missing_chart,critical,"How much greater was the percentage of sales from Units A and B combined compared to Units C and E combined?","regenerate chart, render via Recharts, or exclude"
bryon-750-vr-0071,verbal_reasoning,missing_passage,high,"The passage is ambivalent in respect to whether or not English will become extinct.","recover passage from source or exclude"
green-800-vr-0015,verbal_reasoning,missing_passage,high,"Traffi c signals provide many benefi ts. From the passage it can inferred that this is achieved by:","recover passage from source or exclude"
green-800-qr-0118,quantitative_reasoning,missing_table,critical,"Which activity had the highest number of participants over the course of the week?","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0126,quantitative_reasoning,missing_chart,critical,"What is the average yearly income of the company between its 11th and 20th years?","regenerate chart, render via Recharts, or exclude"
bryon-750-dm-0034,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Penalty points are …","add pipe-table to passage, regenerate, or exclude"
bryon-700-dm-0041,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Parents can harm th…","add pipe-table to passage, regenerate, or exclude"
hutton-glenn-qr-0011,quantitative_reasoning,missing_diagram,critical,"Which one of the following statements is supported by the information in the figure above?","regenerate diagram or exclude"
picard-1000-qr-0051,quantitative_reasoning,missing_diagram,critical,"What is the area of the field?","regenerate diagram or exclude"
bryon-750-vr-0096,verbal_reasoning,missing_passage,high,"The main theme of the passage is an examination of the ceremonies, festivals and observances of the world’s major religions and the lives of…","recover passage from source or exclude"
green-800-vr-0040,verbal_reasoning,missing_passage,high,"Which of the following statements regarding Sensory Memory based on the passage is correct:","recover passage from source or exclude"
green-800-vr-0055,verbal_reasoning,missing_passage,high,"According to the passage what best describes the reason why Plato did not follow a career in politics?","recover passage from source or exclude"
green-800-vr-0016,verbal_reasoning,missing_passage,high,"Which of the following statements is best supported by the passage?","recover passage from source or exclude"
green-800-qr-0158,quantitative_reasoning,missing_chart,critical,"How many times was the acceleration zero?","regenerate chart, render via Recharts, or exclude"
green-800-vr-0022,verbal_reasoning,missing_passage,high,"Based on the passage each of the following statements are true except:","recover passage from source or exclude"
green-2008-qr-0059,quantitative_reasoning,missing_table,critical,"How many French Francs are you able to purchase with £20.00?","add pipe-table to passage, regenerate, or exclude"
mastering-ukcat-vr-0001,verbal_reasoning,missing_passage,high,"True, False, Can’t Tell questions: Each Item is a short statement. Your task is to say, based purely on the passage provided, whether the st…","recover passage from source or exclude"
green-800-vr-0069,verbal_reasoning,missing_passage,high,"According to the passage Plato was regarded by many as one of the West’s greatest philosophers because:","recover passage from source or exclude"
green-800-qr-0062,quantitative_reasoning,missing_table,critical,"What was the mean average grade achieved by the four students in Geography?","add pipe-table to passage, regenerate, or exclude"
bryon-700-dm-0064,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Clients’ health rec…","add pipe-table to passage, regenerate, or exclude"
green-800-qr-0160,quantitative_reasoning,missing_chart,critical,"What distance was travelled in the first hour of the graph?","regenerate chart, render via Recharts, or exclude"
green-800-vr-0074,verbal_reasoning,missing_passage,high,"Which of the following statement can inferred from the passage?","recover passage from source or exclude"
bryon-700-vr-0023,verbal_reasoning,missing_passage,high,"The main point of the passage is an account of the saving that could be made if we were more frugal with our use of electrical appliances.","recover passage from source or exclude"
bryon-700-vr-0027,verbal_reasoning,missing_passage,high,"The passage would be improved if the author wrote 'we can love or hate a smell for the reminiscence it elicits’ rather than ‘we can love or …","recover passage from source or exclude"
hutton-rosalie-qr-0053,quantitative_reasoning,missing_diagram,critical,"Which one of the following statements is supported by the information in the figure above?","regenerate diagram or exclude"
bryon-750-dm-0052,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? A reservoir provide…","add pipe-table to passage, regenerate, or exclude"
tomkins-2014-vr-0009,verbal_reasoning,missing_passage,high,"According to the text, waiters embarrass customers.","recover passage from source or exclude"
bryon-750-dm-0053,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? We were unconcerned…","add pipe-table to passage, regenerate, or exclude"
bryon-750-vr-0083,verbal_reasoning,missing_passage,high,"Despite the fact that it is not, you can infer from the passage that the flag of the Republic of Ireland should be blue, white and red.","recover passage from source or exclude"
bryon-700-vr-0095,verbal_reasoning,missing_passage,high,"The author of the passage would agree that the polar regions of both countries are relatively sparsely populated.","recover passage from source or exclude"
hutton-glenn-qr-0022,quantitative_reasoning,missing_table,critical,"Mr and Mrs Sampson both own a car and are looking to insure both of them. Mr Sampson wants cover for using his car abroad but does not want …","add pipe-table to passage, regenerate, or exclude"
bryon-700-vr-0100,verbal_reasoning,missing_passage,high,"The main theme of the passage is an examination of the ceremonies, festivals and observances of the world’s major religions and the lives of…","recover passage from source or exclude"
bryon-700-vr-0035,verbal_reasoning,missing_passage,high,"The author of the passage does not agree that it should be illegal to use recreational drugs in the privacy of your own home.","recover passage from source or exclude"
bryon-700-vr-0026,verbal_reasoning,missing_passage,high,"In the opening sentence of the passage when it is said that a thing of beauty can completely lack physical form it means that it lacks physi…","recover passage from source or exclude"
bryon-700-vr-0005,verbal_reasoning,missing_passage,high,"Given that inedible means indigestible, unpalatable or poisonous, it can be inferred from the passage that when the author describes the fru…","recover passage from source or exclude"
hutton-glenn-qr-0025,quantitative_reasoning,missing_table,critical,"The selling price of the CDs currently in stock is £588,000 and all CDs are sold at the same price. How much is the actual selling price of …","add pipe-table to passage, regenerate, or exclude"
bryon-700-vr-0087,verbal_reasoning,missing_passage,high,"Despite the fact that it is not, you can infer from the passage that the flag of the Republic of Ireland should be blue, white and red.","recover passage from source or exclude"
hutton-rosalie-qr-0041,quantitative_reasoning,missing_table,critical,"Two flights leave the UK on Monday at 10.00 hours, one bound for Dubai and one for Hawaii. The Dubai flight is adversely affected by incleme…","add pipe-table to passage, regenerate, or exclude"
bryon-750-vr-0004,verbal_reasoning,missing_passage,high,"It can be inferred from the passage that when the author describes the fruit as inedible he means that humans can’t eat it.","recover passage from source or exclude"
bryon-750-vr-0024,verbal_reasoning,missing_passage,high,"The passage would be improved if the author wrote ‘we can love or hate a smell for the reminiscence it ehcits’ rather than ‘we can love or h…","recover passage from source or exclude"
bryon-750-vr-0091,verbal_reasoning,missing_passage,high,"The author of the passage would agree that the polar regions of both coun¬ tries are relatively sparsely populated.","recover passage from source or exclude"
green-2008-qr-0063,quantitative_reasoning,missing_table,critical,"How many French Francs are you able to purchase with £20.00?","add pipe-table to passage, regenerate, or exclude"
hutton-glenn-qr-0048,quantitative_reasoning,missing_diagram,critical,"Which one of the following statements is supported by the information in the figure above?","regenerate diagram or exclude"
bryon-750-vr-0044,verbal_reasoning,missing_passage,high,"The main issue in the passage is rising food prices and how they create winners and losers.","recover passage from source or exclude"
bryon-750-dm-0033,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Successful business…","add pipe-table to passage, regenerate, or exclude"
bryon-750-vr-0073,verbal_reasoning,missing_passage,high,"It would be wrong to deduce from the passage that women volunteers in the same circumstances would not act callously.","recover passage from source or exclude"
bryon-750-qr-0007,quantitative_reasoning,missing_chart,critical,"The graph shows that...","regenerate chart, render via Recharts, or exclude"
bryon-750-vr-0021,verbal_reasoning,missing_passage,high,"The main point of the passage is an account of the saving that could be made if we were more frugal with our use of electrical appliances.","recover passage from source or exclude"
bryon-750-dm-0013,decision_making,missing_table,critical,"Which ONE of the following words when added to the table of code words would be the most helpful in coding the sentence? We sold our home in…","add pipe-table to passage, regenerate, or exclude"
hutton-rosalie-qr-0022,quantitative_reasoning,missing_diagram,critical,"In order to find the new floor area of the bathroom that requires tiling, which one of the following is correct?","regenerate diagram or exclude"
bryon-750-dm-0016,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Neither of us found…","add pipe-table to passage, regenerate, or exclude"
green-2008-qr-0061,quantitative_reasoning,missing_table,critical,"How many French Francs are you able to purchase with £20.00?","add pipe-table to passage, regenerate, or exclude"
hutton-rosalie-qr-0043,quantitative_reasoning,missing_table,critical,"If the population of the United Kingdom continues to grow at the rate it did between 1981 and 2001, what would be the projected population (…","add pipe-table to passage, regenerate, or exclude"
bryon-750-vr-0062,verbal_reasoning,missing_passage,high,"The country to which the passage refers has a total population of","recover passage from source or exclude"
bryon-750-dm-0015,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? We sold our home in…","add pipe-table to passage, regenerate, or exclude"
bryon-750-dm-0035,decision_making,missing_table,critical,"Which TWO of the following words when added to the table of code words would be the most helpful in coding the sentence? Parents can harm th…","add pipe-table to passage, regenerate, or exclude"
hutton-rosalie-qr-0025,quantitative_reasoning,missing_table,critical,"What is the range of user costs for all activities?","add pipe-table to passage, regenerate, or exclude"
hutton-rosalie-qr-0010,quantitative_reasoning,missing_chart,critical,"From the information contained in the pie chart which one of the following statements is correct?","regenerate chart, render via Recharts, or exclude"
green-2008-qr-0057,quantitative_reasoning,missing_table,critical,"How many French Francs are you able to purchase with £20.00?","add pipe-table to passage, regenerate, or exclude"
gen-qr-0043,quantitative_reasoning,missing_table,critical,"What is the overall vaccination uptake rate across all staff groups?","add pipe-table to passage, regenerate, or exclude"
gen-qr-0045,quantitative_reasoning,missing_table,critical,"Which staff group has the highest individual uptake rate?","add pipe-table to passage, regenerate, or exclude"
